id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
272,1997,6,Missouri,32,17,15,0.531,8,8,,,,,97.7,98.5,-0.8,24.7,58.5,0.423,6.7,18.1,0.369,0.48,15.1,21.6,0.7,12.3,37.2,14.2,8,2.8,16.5,18.8,71.3,71.8,6.81
273,1997,7,Colorado,27,13,14,0.481,7,9,,,,,99.5,101.7,-2.2,24.5,60.7,0.404,5.7,16.3,0.347,0.45,16.8,24.4,0.688,15,39.2,15.4,6.6,4,14.3,18.2,71.4,73,2.15
274,1997,8,Kansas State,29,17,12,0.586,7,9,,,,,104.1,95.8,8.3,27.4,59.8,0.459,5.9,16.8,0.35,0.508,13.8,19.8,0.696,12.9,38.8,16.9,7.4,4.2,15.3,19.1,74.5,68.6,9.39
275,1997,9,Texas Tech,27,13,14,0.481,7,9,,,,,104.2,105.9,-1.7,26.4,58.7,0.45,7.7,20.7,0.372,0.516,16.7,24.1,0.693,10.3,36.4,14.6,6.3,3,14.4,19.1,77.3,78.6,4.07
276,1997,10,Texas,31,14,17,0.452,6,10,,,,,102.9,105.4,-2.5,27.9,64.7,0.431,7.6,23.1,0.329,0.49,16,23.6,0.68,15.4,40.3,14.2,7.4,6.5,16.7,22,79.5,81.4,4.53
277,1997,11,Iowa State,30,12,18,0.4,5,11,,,,,93.7,99.6,-5.9,22.7,51.6,0.44,3.5,11.9,0.295,0.474,14.8,23,0.642,11.9,36.3,12.2,5.4,3.3,17.1,16.6,63.7,67.7,0.76
278,1997,12,Texas A&M,27,7,20,0.259,1,15,,,,,95.4,98.4,-3,28.2,66,0.427,4.7,15.3,0.308,0.463,14,24.1,0.579,15.6,40.6,17.1,10.7,3.5,16.7,21.5,75,77.4,0.04
279,1996,1,Kansas,36,34,2,0.944,15,1,,,,,113,87.9,25,30.1,61.7,0.488,5.3,14.1,0.379,0.531,19.4,28,0.693,15.4,42.6,16.6,9.8,6.2,15.9,18.7,84.9,66.1,26.6
280,1996,2,Colorado,32,22,10,0.688,11,5,,,,,99.8,95,4.8,25.7,60.9,0.422,4.6,12.7,0.362,0.46,17.1,25.1,0.681,13.4,39,14.7,8.1,5.5,13.8,20.1,73.1,69.6,9.69
281,1996,3,Iowa State,31,22,9,0.71,10,6,,,,,102.9,92,10.9,24.1,53.1,0.453,4.8,12,0.401,0.499,14.6,22.2,0.656,11.8,35.5,15.5,5.7,5.2,14.2,14.2,67.5,60.4,13.43
282,1996,4,Texas,30,18,12,0.6,10,6,,,,,101.9,98,3.8,26,63,0.413,7.4,23,0.322,0.472,16.9,24.7,0.683,15.2,38.8,12.8,9.3,4.4,15.4,22.9,76.3,73.5,12.34
283,1996,5,Texas Tech,28,19,9,0.679,10,6,,,,,109.6,101.7,7.9,27.8,58.8,0.473,7.2,17.7,0.406,0.534,17.3,24.4,0.709,13.3,40,16.2,5.8,3.5,16.1,17.5,80.1,74.3,12.51
284,1996,6,Oklahoma,30,19,11,0.633,9,7,,,,,107.1,94.2,12.9,25,58,0.431,6.5,18.4,0.351,0.487,17.7,24.5,0.724,14.3,35.1,13.3,8.7,3.2,14.2,21.2,74.3,65.3,13.97
285,1996,7,Nebraska,33,18,15,0.545,7,9,,,,,100.9,98.8,2.1,27.1,58.4,0.464,3.4,10.6,0.324,0.494,15.3,22.8,0.67,14.8,39.2,13.6,9,6.1,17.7,21.1,72.9,71.4,9.71
286,1996,8,Oklahoma State,32,17,15,0.531,7,9,,,,,105.2,105.2,0,25.8,54.3,0.476,5.6,15.4,0.362,0.527,12.2,17.6,0.691,12,35,15.5,6,2.3,15.5,17.8,69.4,69.5,6.96
287,1996,9,Baylor,30,18,12,0.6,6,10,,,,,97.9,94.6,3.4,25.9,60.1,0.431,7.6,22.7,0.334,0.494,12.3,21.7,0.568,13,36.9,14.6,7.1,4.5,15.8,20.3,71.6,69.2,4.4
288,1996,10,Missouri,33,16,17,0.485,5,11,,,,,101,98.6,2.4,25.2,56.2,0.448,6,16.6,0.359,0.501,17.7,23.3,0.758,11.1,34.9,15.8,7.6,2.2,16.8,20.6,73.9,72.2,8.95
289,1996,11,Kansas State,27,10,17,0.37,3,13,,,,,90.3,97.9,-7.6,22.9,59.3,0.386,3.6,12.5,0.288,0.416,14.9,22.3,0.667,14.2,38.9,13,6.8,4.7,15.3,18.6,64.2,69.6,1.75
290,1996,12,Texas A&M,27,9,18,0.333,3,13,,,,,92,96.5,-4.6,24,56.6,0.423,4.6,13.5,0.338,0.464,12.5,20.2,0.618,13.2,37.2,15.1,8.6,3.1,17.4,22.2,65,68.2,2.43
